Enrollment_ID,Semester,CGPA,Attendance_Pct,Books_Issued,Book_Genre_Preference,Fees_Status,Survey_Drop_Thought,Risk_Category
NITP-23-2000,2,7.16,73,4,Biography,Partial,No,no_risk
NITP-23-2001,2,2.1,2,0,None,Pending,Yes,no_risk
NITP-23-2002,7,8.89,97,14,Academic,Paid,No,no_risk
NITP-23-2003,7,5.59,77,2,Academic,Paid,No,no_risk
NITP-23-2004,8,7.83,92,8,Academic,Paid,No,no_risk
NITP-23-2005,4,6.78,68,4,None,Partial,Maybe,on_the_verge_of_drop
NITP-23-2006,4,9.79,89,9,Sci-Fi,Paid,No,no_risk
NITP-23-2007,4,8.52,89,12,Biography,Paid,No,no_risk
NITP-23-2008,3,6.73,72,6,Non-Fiction,Paid,Maybe,on_the_verge_of_drop
NITP-23-2009,1,6.91,65,2,Non-Fiction,Paid,No,no_risk
NITP-23-2010,6,7.15,75,4,Sci-Fi,Paid,No,no_risk
NITP-23-2011,3,8.66,82,12,Academic,Paid,No,no_risk
NITP-23-2012,3,9.36,91,11,Academic,Paid,No,no_risk
NITP-23-2013,5,2.51,41,1,None,Partial,Maybe,on_the_verge_of_drop
NITP-23-2014,3,9.31,98,13,Sci-Fi,Paid,No,no_risk
NITP-23-2015,8,3.64,11,1,Sci-Fi,Partial,Maybe,on_the_verge_of_drop
NITP-23-2016,6,8.96,80,12,Academic,Paid,No,no_risk
NITP-23-2017,7,6.6,74,3,Fiction,Paid,No,no_risk
NITP-23-2018,4,7.88,82,7,Fiction,Paid,No,no_risk
NITP-23-2019,6,9.45,84,13,Academic,Paid,No,no_risk
NITP-23-2020,8,9.68,86,12,Academic,Paid,No,no_risk
NITP-23-2021,5,4.04,16,2,Sci-Fi,Pending,Yes,critical
NITP-23-2022,3,4.63,20,0,Fiction,Pending,No,critical
NITP-23-2023,7,8.86,92,5,Non-Fiction,Paid,No,no_risk
NITP-23-2024,5,5.9,70,4,None,Paid,No,no_risk
NITP-23-2025,8,6.86,65,5,Non-Fiction,Partial,No,no_risk
NITP-23-2026,4,9.74,91,12,Fiction,Paid,No,no_risk
NITP-23-2027,6,0.23,20,0,None,Pending,Yes,critical
NITP-23-2028,5,7.71,89,13,Academic,Paid,No,critical
NITP-23-2029,5,4.66,54,2,None,Pending,Yes,critical
NITP-23-2030,5,4.72,24,1,None,Partial,Yes,critical
NITP-23-2031,1,6.3,79,3,Biography,Partial,No,no_risk
NITP-23-2032,3,3.73,5,2,Fiction,Partial,No,critical
NITP-23-2033,3,6.02,66,4,Non-Fiction,Paid,No,no_risk
NITP-23-2034,3,6.09,83,4,Academic,Partial,Maybe,on_the_verge_of_drop
NITP-23-2035,4,0.08,26,0,Sci-Fi,Partial,Maybe,on_the_verge_of_drop
NITP-23-2036,3,8.11,89,5,Biography,Paid,No,no_risk
NITP-23-2037,6,9.29,80,8,Fiction,Paid,No,no_risk
NITP-23-2038,3,4.71,7,0,Sci-Fi,Partial,Yes,no_risk
NITP-23-2039,7,6.35,77,2,Sci-Fi,Paid,No,no_risk
NITP-23-2040,5,7.47,72,4,None,Paid,Maybe,on_the_verge_of_drop
NITP-23-2041,7,1.77,44,0,Sci-Fi,Pending,Yes,critical
NITP-23-2042,8,8.43,97,10,Sci-Fi,Paid,No,no_risk
NITP-23-2043,6,7.94,92,13,Academic,Paid,No,no_risk
NITP-23-2044,7,8.47,96,13,Fiction,Paid,No,no_risk
NITP-23-2045,1,8.41,95,7,Academic,Paid,No,no_risk
NITP-23-2046,8,7.03,73,5,Non-Fiction,Paid,No,no_risk
NITP-23-2047,4,7.98,87,13,Biography,Paid,No,no_risk
NITP-23-2048,8,7.68,87,8,Academic,Paid,No,no_risk
NITP-23-2049,8,6.42,84,3,Biography,Partial,No,no_risk
NITP-23-2050,2,7.89,86,14,Academic,Paid,No,on_the_verge_of_drop
NITP-23-2051,7,6.61,78,5,None,Partial,No,no_risk
NITP-23-2052,1,6.62,78,4,Sci-Fi,Partial,No,no_risk
NITP-23-2053,2,7.83,89,11,Biography,Paid,No,no_risk
NITP-23-2054,5,8.41,97,10,Academic,Paid,No,critical
NITP-23-2055,5,0.14,59,2,None,Pending,Yes,critical
NITP-23-2056,5,9.89,89,6,Academic,Paid,No,no_risk
NITP-23-2057,2,5.71,83,2,None,Paid,Maybe,on_the_verge_of_drop
NITP-23-2058,6,7.76,89,5,Fiction,Paid,No,critical
NITP-23-2059,7,3.12,29,1,Fiction,Pending,Maybe,on_the_verge_of_drop
NITP-23-2060,6,8.22,80,8,Biography,Paid,No,no_risk
NITP-23-2061,6,7.99,87,14,Biography,Paid,No,no_risk
NITP-23-2062,5,6.19,65,6,None,Partial,Maybe,on_the_verge_of_drop
